      0: board.processor.cores.core.branchPred: index mask: 0x1ff
      0: board.processor.cores.core.branchPred: local predictor size: 1024
      0: board.processor.cores.core.branchPred: local counter bits: 2
      0: board.processor.cores.core.branchPred: instruction shift amount: 1
      0: board.processor.cores.core.execute.fu.9: Adding extra timing decode pattern 0 to FU mask: 0000000000000000 match: 0000000000000000 srcRegLatencies: 2
      0: board.processor.cores.core.execute.fu.10: Adding extra timing decode pattern 0 to FU mask: 0000000000000000 match: 0000000000000000 srcRegLatencies: 2
      0: board.processor.cores.core.execute.fu.11: Adding extra timing decode pattern 0 to FU mask: 0000000000000000 match: 0000000000000000 srcRegLatencies: 2
      0: board.processor.cores.core.execute.fu.12: Adding extra timing decode pattern 0 to FU mask: 0000000000000000 match: 0000000000000000 srcRegLatencies: 2
      0: board.processor.cores.core.execute.fu.13: Adding extra timing decode pattern 0 to FU mask: 0000000000000000 match: 0000000000000000 srcRegLatencies: 2
      0: board.processor.cores.core.execute.fu.14: Adding extra timing decode pattern 0 to FU mask: 0000000000000000 match: 0000000000000000 srcRegLatencies: 1
      0: board.processor.cores.core.execute.fu.15: Adding extra timing decode pattern 0 to FU mask: 0000000000000000 match: 0000000000000000 srcRegLatencies: 1
      0: board.processor.cores.core: ActivateContext thread: 0
      0: board.processor.cores.core.fetch1: [tid:0]: Changing stream wakeup (0=>0x4).(0=>1)
      0: board.cache_hierarchy.l1dcaches: functionalAccess: WriteReq [0:3f] 
      0: board.cache_hierarchy.l1icaches: functionalAccess: WriteReq [0:3f] 
      0: board.cache_hierarchy.iptw_caches: functionalAccess: WriteReq [0:3f] 
      0: board.cache_hierarchy.dptw_caches: functionalAccess: WriteReq [0:3f] 
      0: board.cache_hierarchy.l1dcaches: functionalAccess: WriteReq [40:7f] 
      0: board.cache_hierarchy.l1icaches: functionalAccess: WriteReq [40:7f] 
      0: board.cache_hierarchy.iptw_caches: functionalAccess: WriteReq [40:7f] 
      0: board.cache_hierarchy.dptw_caches: functionalAccess: WriteReq [40:7f] 
      0: board.cache_hierarchy.l1dcaches: functionalAccess: WriteReq [80:bf] 
      0: board.cache_hierarchy.l1icaches: functionalAccess: WriteReq [80:bf] 
      0: board.cache_hierarchy.iptw_caches: functionalAccess: WriteReq [80:bf] 
      0: board.cache_hierarchy.dptw_caches: functionalAccess: WriteReq [80:bf] 
      0: board.cache_hierarchy.l1dcaches: functionalAccess: WriteReq [c0:ff] 
      0: board.cache_hierarchy.l1icaches: functionalAccess: WriteReq [c0:ff] 
      0: board.cache_hierarchy.iptw_caches: functionalAccess: WriteReq [c0:ff] 
      0: board.cache_hierarchy.dptw_caches: functionalAccess: WriteReq [c0:ff] 
